Vertices;Comparacoes;Tempo(seg);;;;;;;;;
346;238740;0.00;;;;;;;;;
347;240124;0.00;;;;;;;;;
348;241512;0.00;;;;;;;;;
349;242904;0.00;;;;;;;;;
350;244300;0.00;;;;;;;;;
351;245700;0.00;;;;;;;;;
352;247104;0.00;;;;;;;;;
353;248512;0.00;;;;;;;;;
354;249924;0.00;;;;;;;;;
355;251340;0.00;;;;;;;;;
356;252760;0.00;;;;;;;;;
357;254184;0.00;;;;;;;;;
358;255612;0.00;;;;;;;;;
359;257044;0.00;;;;;;;;;
360;258480;0.00;;;;;;;;;
361;259920;0.00;;;;;;;;;
362;261364;0.00;;;;;;;;;
363;262812;0.00;;;;;;;;;
364;264264;0.00;;;;;;;;;
365;265720;0.00;;;;;;;;;
366;267180;0.00;;;;;;;;;
367;268644;0.00;;;;;;;;;
368;270112;0.00;;;;;;;;;
369;271584;0.00;;;;;;;;;
370;273060;0.00;;;;;;;;;
371;274540;0.00;;;;;;;;;
372;276024;0.00;;;;;;;;;
373;277512;0.00;;;;;;;;;
374;279004;0.00;;;;;;;;;
375;280500;0.00;;;;;;;;;
376;282000;0.00;;;;;;;;;
377;283504;0.00;;;;;;;;;
378;285012;0.00;;;;;;;;;
379;286524;0.00;;;;;;;;;
380;288040;0.00;;;;;;;;;
381;289560;0.00;;;;;;;;;
382;291084;0.00;;;;;;;;;
383;292612;0.00;;;;;;;;;
384;294144;0.00;;;;;;;;;
385;295680;0.00;;;;;;;;;
386;297220;0.00;;;;;;;;;
387;298764;0.00;;;;;;;;;
388;300312;0.00;;;;;;;;;
389;301864;0.00;;;;;;;;;
390;303420;0.00;;;;;;;;;
391;304980;0.00;;;;;;;;;
392;306544;0.00;;;;;;;;;
393;308112;0.00;;;;;;;;;
394;309684;0.00;;;;;;;;;
395;311260;0.00;;;;;;;;;
396;312840;0.00;;;;;;;;;
397;314424;0.00;;;;;;;;;
398;316012;0.00;;;;;;;;;
399;317604;0.00;;;;;;;;;
400;319200;0.00;;;;;;;;;
401;320800;0.00;;;;;;;;;
402;322404;0.00;;;;;;;;;
403;324012;0.00;;;;;;;;;
404;325624;0.00;;;;;;;;;
405;327240;0.00;;;;;;;;;
406;328860;0.00;;;;;;;;;
407;330484;0.00;;;;;;;;;
408;332112;0.00;;;;;;;;;
409;333744;0.00;;;;;;;;;
410;335380;0.00;;;;;;;;;
411;337020;0.00;;;;;;;;;
412;338664;0.00;;;;;;;;;
413;340312;0.00;;;;;;;;;
414;341964;0.00;;;;;;;;;
415;343620;0.00;;;;;;;;;
416;345280;0.00;;;;;;;;;
417;346944;0.00;;;;;;;;;
418;348612;0.00;;;;;;;;;
419;350284;0.00;;;;;;;;;
420;351960;0.00;;;;;;;;;
421;353640;0.00;;;;;;;;;
422;355324;0.00;;;;;;;;;
423;357012;0.00;;;;;;;;;
424;358704;0.00;;;;;;;;;
425;360400;0.00;;;;;;;;;
426;362100;0.00;;;;;;;;;
427;363804;0.00;;;;;;;;;
428;365512;0.00;;;;;;;;;
429;367224;0.00;;;;;;;;;
430;368940;0.00;;;;;;;;;
431;370660;0.00;;;;;;;;;
432;372384;0.00;;;;;;;;;
433;374112;0.00;;;;;;;;;
434;375844;0.00;;;;;;;;;
435;377580;0.00;;;;;;;;;
436;379320;0.00;;;;;;;;;
437;381064;0.00;;;;;;;;;
438;382812;0.00;;;;;;;;;
439;384564;0.00;;;;;;;;;
440;386320;0.00;;;;;;;;;
441;388080;0.00;;;;;;;;;
442;389844;0.00;;;;;;;;;
443;391612;0.00;;;;;;;;;
444;393384;0.00;;;;;;;;;
445;395160;0.00;;;;;;;;;
446;396940;0.00;;;;;;;;;
447;398724;0.00;;;;;;;;;
448;400512;0.00;;;;;;;;;
449;402304;0.00;;;;;;;;;
450;404100;0.00;;;;;;;;;
451;405900;0.00;;;;;;;;;
452;407704;0.00;;;;;;;;;
453;409512;0.00;;;;;;;;;
454;411324;0.00;;;;;;;;;
455;413140;0.00;;;;;;;;;
456;414960;0.00;;;;;;;;;
457;416784;0.00;;;;;;;;;
458;418612;0.00;;;;;;;;;
459;420444;0.00;;;;;;;;;
460;422280;0.00;;;;;;;;;
461;424120;0.00;;;;;;;;;
462;425964;0.00;;;;;;;;;
463;427812;0.00;;;;;;;;;
464;429664;0.00;;;;;;;;;
465;431520;0.00;;;;;;;;;
466;433380;0.00;;;;;;;;;
467;435244;0.00;;;;;;;;;
468;437112;0.00;;;;;;;;;
469;438984;0.00;;;;;;;;;
470;440860;0.00;;;;;;;;;
471;442740;0.00;;;;;;;;;
472;444624;0.00;;;;;;;;;
473;446512;0.00;;;;;;;;;
474;448404;0.00;;;;;;;;;
475;450300;0.00;;;;;;;;;
476;452200;0.00;;;;;;;;;
477;454104;0.00;;;;;;;;;
478;456012;0.00;;;;;;;;;
479;457924;0.00;;;;;;;;;
480;459840;0.00;;;;;;;;;
481;461760;0.00;;;;;;;;;
482;463684;0.00;;;;;;;;;
483;465612;0.00;;;;;;;;;
484;467544;0.00;;;;;;;;;
485;469480;0.00;;;;;;;;;
486;471420;0.00;;;;;;;;;
487;473364;0.00;;;;;;;;;
488;475312;0.00;;;;;;;;;
489;477264;0.00;;;;;;;;;
490;479220;0.00;;;;;;;;;
491;481180;0.00;;;;;;;;;
492;483144;0.00;;;;;;;;;
493;485112;0.00;;;;;;;;;
494;487084;0.00;;;;;;;;;
495;489060;0.00;;;;;;;;;
496;491040;0.00;;;;;;;;;
497;493024;0.00;;;;;;;;;
498;495012;0.00;;;;;;;;;
499;497004;0.00;;;;;;;;;
500;499000;0.00;;;;;;;;;
501;501000;0.00;;;;;;;;;
502;503004;0.00;;;;;;;;;
503;505012;0.00;;;;;;;;;
504;507024;0.00;;;;;;;;;
505;509040;0.00;;;;;;;;;
506;511060;0.00;;;;;;;;;
507;513084;0.00;;;;;;;;;
508;515112;0.00;;;;;;;;;
509;517144;0.00;;;;;;;;;
510;519180;0.00;;;;;;;;;
511;521220;0.00;;;;;;;;;
512;523264;0.00;;;;;;;;;
513;525312;0.00;;;;;;;;;
514;527364;0.00;;;;;;;;;
515;529420;0.00;;;;;;;;;
516;531480;0.00;;;;;;;;;
517;533544;0.00;;;;;;;;;
518;535612;0.00;;;;;;;;;
519;537684;0.00;;;;;;;;;
520;539760;0.00;;;;;;;;;
521;541840;0.00;;;;;;;;;
522;543924;0.00;;;;;;;;;
523;546012;0.00;;;;;;;;;
524;548104;0.00;;;;;;;;;
525;550200;0.00;;;;;;;;;
526;552300;0.00;;;;;;;;;
527;554404;0.00;;;;;;;;;
528;556512;0.00;;;;;;;;;
529;558624;0.00;;;;;;;;;
530;560740;0.00;;;;;;;;;
531;562860;0.00;;;;;;;;;
532;564984;0.00;;;;;;;;;
533;567112;0.00;;;;;;;;;
534;569244;0.00;;;;;;;;;
535;571380;0.00;;;;;;;;;
536;573520;0.00;;;;;;;;;
537;575664;0.00;;;;;;;;;
538;577812;0.00;;;;;;;;;
539;579964;0.00;;;;;;;;;
540;582120;0.00;;;;;;;;;
541;584280;0.00;;;;;;;;;
542;586444;0.00;;;;;;;;;
543;588612;0.00;;;;;;;;;
544;590784;0.00;;;;;;;;;
545;592960;0.00;;;;;;;;;
546;595140;0.00;;;;;;;;;
547;597324;0.00;;;;;;;;;
548;599512;0.00;;;;;;;;;
549;601704;0.00;;;;;;;;;
550;603900;0.00;;;;;;;;;
551;606100;0.00;;;;;;;;;
552;608304;0.00;;;;;;;;;
553;610512;0.00;;;;;;;;;
554;612724;0.00;;;;;;;;;
555;614940;0.00;;;;;;;;;
556;617160;0.00;;;;;;;;;
557;619384;0.00;;;;;;;;;
558;621612;0.00;;;;;;;;;
559;623844;0.00;;;;;;;;;
560;626080;0.00;;;;;;;;;
561;628320;0.00;;;;;;;;;
562;630564;0.00;;;;;;;;;
563;632812;0.00;;;;;;;;;
564;635064;0.00;;;;;;;;;
565;637320;0.00;;;;;;;;;
566;639580;0.00;;;;;;;;;
567;641844;0.00;;;;;;;;;
568;644112;0.00;;;;;;;;;
569;646384;0.00;;;;;;;;;
570;648660;0.00;;;;;;;;;
571;650940;0.00;;;;;;;;;
572;653224;0.00;;;;;;;;;
573;655512;0.00;;;;;;;;;
574;657804;0.00;;;;;;;;;
575;660100;0.00;;;;;;;;;
576;662400;0.00;;;;;;;;;
577;664704;0.00;;;;;;;;;
578;667012;0.00;;;;;;;;;
579;669324;0.00;;;;;;;;;
580;671640;0.00;;;;;;;;;
581;673960;0.00;;;;;;;;;
582;676284;0.00;;;;;;;;;
583;678612;0.00;;;;;;;;;
584;680944;0.00;;;;;;;;;
585;683280;0.00;;;;;;;;;
586;685620;0.00;;;;;;;;;
